donor,proportion,passage,harvestday,well,um_pb2
RUES1,0.01267,1,6,3,10
UCLA10,0.02336,1,6,3,10
UCLA13,0.02092,1,6,3,10
UCLA2,0.00909,1,6,3,10
UCSF4,0.03273,1,6,3,10
UM14-1,0.03018,1,6,3,10
UM77-2,0.01312,1,6,3,10
WA7,0.0041,1,6,3,10
WA09,0.03294,1,6,3,10
WA13,0.04377,1,6,3,10
WA15,0.02261,1,6,3,10
WA17,0.04694,1,6,3,10
WA22,0.02892,1,6,3,10
WA24,0.00539,1,6,3,10
CHB4,0.00852,1,6,3,3
CHB11,0.01794,1,6,3,3
CSES15,0.04894,1,6,3,3
CSES25,0.01525,1,6,3,3
CT2,0.02718,1,6,3,3
CT4,0.02907,1,6,3,3
ESI017,0.02346,1,6,3,3
ESI049,0.06802,1,6,3,3
ESI051,0.02573,1,6,3,3
Genea15,0.00808,1,6,3,3
Genea16,0.01845,1,6,3,3
Genea42,0.01291,1,6,3,3
Genea47,0.00518,1,6,3,3
Genea52,0.02878,1,6,3,3
HS401,0.11111,1,6,3,3
HS420,0.01979,1,6,3,3
HUES42,0.02337,1,6,3,3
HUES44,0.0278,1,6,3,3
HUES45,0.01496,1,6,3,3
HUES49,0.02097,1,6,3,3
HUES63,0.04934,1,6,3,3
HUES64,0.02228,1,6,3,3
HUES75,0.02262,1,6,3,3
Mel2,0.01129,1,6,3,3
RUES1,0.01208,1,6,3,3
UCLA10,0.02533,1,6,3,3
UCLA13,0.02212,1,6,3,3
UCLA2,0.00911,1,6,3,3
UCSF4,0.02961,1,6,3,3
UM14-1,0.03442,1,6,3,3
UM77-2,0.01236,1,6,3,3
WA7,0.00555,1,6,3,3
WA09,0.03209,1,6,3,3
WA13,0.04404,1,6,3,3
WA15,0.02681,1,6,3,3
WA17,0.04925,1,6,3,3
WA22,0.02973,1,6,3,3
WA24,0.00645,1,6,3,3
CHB4,0.00534,1,9,1,0
CHB11,0.01869,1,9,1,0
CSES15,0.04236,1,9,1,0
CSES25,0.00894,1,9,1,0
CT2,0.02298,1,9,1,0
CT4,0.03256,1,9,1,0
ESI017,0.01847,1,9,1,0
ESI049,0.08897,1,9,1,0
ESI051,0.04117,1,9,1,0
Genea15,0.00686,1,9,1,0
Genea16,0.01508,1,9,1,0
Genea42,0.0111,1,9,1,0
Genea47,0.00841,1,9,1,0
Genea52,0.03135,1,9,1,0
HS401,0.15005,1,9,1,0
HS420,0.02089,1,9,1,0
HUES42,0.02265,1,9,1,0
HUES44,0.03113,1,9,1,0
HUES45,0.01059,1,9,1,0
HUES49,0.01757,1,9,1,0
HUES63,0.05132,1,9,1,0
HUES64,0.01759,1,9,1,0
HUES75,0.02043,1,9,1,0
Mel2,0.00633,1,9,1,0
RUES1,0.00593,1,9,1,0
UCLA10,0.02197,1,9,1,0
UCLA13,0.01557,1,9,1,0
UCLA2,0.00579,1,9,1,0
UCSF4,0.03896,1,9,1,0
UM14-1,0.04797,1,9,1,0
UM77-2,0.00575,1,9,1,0
WA7,0.00385,1,9,1,0
